id,Scientific_Name,Control_Experimental,Common_Name,Plant_Type,Root_Count,Sprout_Count,Seed_Amount,Seed_Amount_Variation,Healthy_Seed_Count,avg_root_length_cm,avg_sprout_length_cm,median_root_length_cm,median_sprout_length_cm,root_length_sd,sprout_length_sd
1,allium cepa,control,onion,monocot,9,8,10,0,7,0.7031746031746032,0.8535714285714285,4.8,6.15,0.30587594005241375,0.4318075102954115
2,allium cepa,experimental,onion,monocot,5,2,10,0,5,0.6719999999999999,1.65,2.2,8.25,0.5185749704719655,0.29698484809835
3,allium tuberosum,control,garlic,monocot,3,1,10,0,2,2.45,3.15,4.7,6.3,0.5567764362830021,NA
4,allium tuberosum,experimental,garlic,monocot,2,2,10,0,2,3.5250000000000004,2.875,7.050000000000001,5.75,0.2474873734152917,0.6717514421272203
5,antirrhinum majus,experimental,snapdragon,dicot,1,1,10,3,1,7.4,1.3,7.4,1.3,NA,NA
6,brassica oleracea var. capitata,control,cabbage,dicot,7,5,12,0,5,0.9257142857142856,1.048,4.1,5.4,0.5395942037882772,0.47594117283546716
7,brassica oleracea var. capitata,experimental,cabbage,dicot,5,2,12,0,5,1.028,0.8300000000000001,5.3,4.15,0.25791471458604287,0.268700576850888
8,echeveria sedum,control,succulent,dicot,7,2,12,0,7,0.4448979591836735,0.9357142857142857,3.2,6.55,0.3043257934065989,0.1515228816828316
9,echeveria sedum,experimental,succulent,dicot,7,3,12,0,7,0.8326530612244898,0.780952380952381,5.9,5.2,0.27574442047435976,0.5438587251531137
10,helianthus annuus,control,common sunflower,dicot,3,1,6,0,3,1.6333333333333335,2.966666666666667,5.1,8.9,0.3055050463303894,NA
11,helianthus annuus,experimental,common sunflower,dicot,2,1,6,0,2,4.075,3.95,8.15,7.9,0.6010407640085654,NA
12,lathyrus odoratus,control,sweet pea,dicot,4,0,4,0,3,1.5333333333333334,NA,4.7,NA,0.8050764858994133,NA
13,lathyrus odoratus,experimental,sweet pea,dicot,3,1,8,0,3,1.3666666666666665,1.7333333333333334,4.4,5.2,0.3929942040850532,NA
14,lythrum salicaria,control,purple loosestrife,dicot,2,1,5,0,1,8,6.8,8,6.8,2.2627416997969516,NA
15,lythrum salicaria,experimental,purple loosestrife,dicot,1,0,5,0,1,8.6,NA,8.6,NA,NA,NA
16,narcissus pseudonarcissus,control,daffodil,monocot,7,5,10,0,5,0.9428571428571428,1.268,5.2,6.5,0.4512838827801663,0.4609989154000257
17,narcissus pseudonarcissus,experimental,daffodil,monocot,3,4,10,0,2,1.7666666666666666,2.7625,4.7,5.95,1.2789970028633113,1.4935277031243845
18,ocimum basilicum,control,basil,dicot,5,4,12,0,4,1.155,1.3625,4.9,5.800000000000001,0.37889642384166156,0.7736547464254754
19,ocimum basilicum,experimental,basil,dicot,4,4,12,0,4,1.06875,0.46875,4.05,1.95,0.6319200239481786,0.21734668926241624
20,petunia integrifolia,control,petunia,dicot,16,6,10,0,10,0.41312499999999996,0.49333333333333335,4.699999999999999,5.300000000000001,0.227675756285117,0.2733983662472522
21,petunia integrifolia,experimental,petunia,dicot,10,4,10,0,8,0.46125,0.559375,3.25,4.2,0.3275779169398735,0.24840637907804755
22,secale cereale,control,rye,monocot,16,3,8,0,8,0.6734375,0.8875000000000001,5.15,7.8,0.3355615629061231,0.32763356055202897
23,secale cereale,experimental,rye,monocot,5,4,8,0,5,1.22,1.29,6.3,6.35,0.5065570056765576,0.20297783130184438
24,solanum lycopersicum,control,tomato,dicot,4,1,5,0,4,1.55,1.525,6,6.1,0.6991065727054782,NA
25,solanum lycopersicum,experimental,tomato,dicot,5,2,10,0,4,1.425,1.6375000000000002,5.8,6.550000000000001,0.5147815070493501,0.6187184335382293
26,triticum aestivum,control,wheat,monocot,23,6,7,0,7,0.6763975155279504,0.9809523809523809,4.9,6.55,0.3802793791770901,0.14390094854863628
27,triticum aestivum,experimental,wheat,monocot,10,3,7,0,7,0.6071428571428571,1.238095238095238,4.7,8.5,0.22164607852832435,0.08123201004396192
28,zea mays,control,maize,monocot,15,5,6,0,6,0.8811111111111112,1.0466666666666666,5.1,6.2,0.46444482418151106,0.13560563737871995
29,zea mays,experimental,maize,monocot,5,4,6,0,4,1.41875,1.0875,5.65,4.4,0.10680004681646914,0.125
