id,Scientific_Name,Control_Experimental,Common_Name,Plant_Type,week,measurement_cm
1,allium cepa,control,onion,monocot,1,0.45
2,allium cepa,experimental,onion,monocot,1,0.025
3,allium tuberosum,control,garlic,monocot,1,0
4,allium tuberosum,experimental,garlic,monocot,1,0
6,brassica oleracea var. capitata,control,cabbage,dicot,1,0
7,brassica oleracea var. capitata,experimental,cabbage,dicot,1,0
8,echeveria sedum,control,succulent,dicot,1,0
9,echeveria sedum,experimental,succulent,dicot,1,0
10,helianthus annuus,control,common sunflower,dicot,1,0
11,helianthus annuus,experimental,common sunflower,dicot,1,1
12,lathyrus odoratus,control,sweet pea,dicot,1,0.5
13,lathyrus odoratus,experimental,sweet pea,dicot,1,0
14,lythrum salicaria,control,purple loosestrife,dicot,1,0
15,lythrum salicaria,experimental,purple loosestrife,dicot,1,0.4
16,narcissus pseudonarcissus,control,daffodil,monocot,1,0
17,narcissus pseudonarcissus,experimental,daffodil,monocot,1,0
18,ocimum basilicum,control,basil,dicot,1,0
19,ocimum basilicum,experimental,basil,dicot,1,0
20,petunia integrifolia,control,petunia,dicot,1,0.04
21,petunia integrifolia,experimental,petunia,dicot,1,0
22,secale cereale,control,rye,monocot,1,0.9
23,secale cereale,experimental,rye,monocot,1,0.9
24,solanum lycopersicum,control,tomato,dicot,1,0
25,solanum lycopersicum,experimental,tomato,dicot,1,0
26,triticum aestivum,control,wheat,monocot,1,0.55
27,triticum aestivum,experimental,wheat,monocot,1,0.55
28,zea mays,control,maize,monocot,1,0
29,zea mays,experimental,maize,monocot,1,0.25
1,allium cepa,control,onion,monocot,2,1.2000000000000002
2,allium cepa,experimental,onion,monocot,2,0.30000000000000004
3,allium tuberosum,control,garlic,monocot,2,1.4
4,allium tuberosum,experimental,garlic,monocot,2,1.15
6,brassica oleracea var. capitata,control,cabbage,dicot,2,0.9249999999999999
7,brassica oleracea var. capitata,experimental,cabbage,dicot,2,0.8
8,echeveria sedum,control,succulent,dicot,2,0.45999999999999996
9,echeveria sedum,experimental,succulent,dicot,2,0.44
10,helianthus annuus,control,common sunflower,dicot,2,0.9
11,helianthus annuus,experimental,common sunflower,dicot,2,1.15
12,lathyrus odoratus,control,sweet pea,dicot,2,1
13,lathyrus odoratus,experimental,sweet pea,dicot,2,0.8500000000000001
14,lythrum salicaria,control,purple loosestrife,dicot,2,1.5
15,lythrum salicaria,experimental,purple loosestrife,dicot,2,1.3
16,narcissus pseudonarcissus,control,daffodil,monocot,2,0.415
17,narcissus pseudonarcissus,experimental,daffodil,monocot,2,0.425
18,ocimum basilicum,control,basil,dicot,2,1.4500000000000002
19,ocimum basilicum,experimental,basil,dicot,2,0.375
20,petunia integrifolia,control,petunia,dicot,2,0.28500000000000003
21,petunia integrifolia,experimental,petunia,dicot,2,0.31
22,secale cereale,control,rye,monocot,2,1.35
23,secale cereale,experimental,rye,monocot,2,1.5
24,solanum lycopersicum,control,tomato,dicot,2,1.3
25,solanum lycopersicum,experimental,tomato,dicot,2,1.05
26,triticum aestivum,control,wheat,monocot,2,1.1
27,triticum aestivum,experimental,wheat,monocot,2,1
28,zea mays,control,maize,monocot,2,1.2999999999999998
29,zea mays,experimental,maize,monocot,2,1.25
1,allium cepa,control,onion,monocot,3,1.95
2,allium cepa,experimental,onion,monocot,3,1.1
3,allium tuberosum,control,garlic,monocot,3,2.15
4,allium tuberosum,experimental,garlic,monocot,3,3.35
6,brassica oleracea var. capitata,control,cabbage,dicot,3,1.65
7,brassica oleracea var. capitata,experimental,cabbage,dicot,3,1.6
8,echeveria sedum,control,succulent,dicot,3,1.05
9,echeveria sedum,experimental,succulent,dicot,3,2.4000000000000004
10,helianthus annuus,control,common sunflower,dicot,3,1.9
11,helianthus annuus,experimental,common sunflower,dicot,3,3
12,lathyrus odoratus,control,sweet pea,dicot,3,1.5
13,lathyrus odoratus,experimental,sweet pea,dicot,3,2.6500000000000004
14,lythrum salicaria,control,purple loosestrife,dicot,3,4.1
15,lythrum salicaria,experimental,purple loosestrife,dicot,3,4.9
16,narcissus pseudonarcissus,control,daffodil,monocot,3,1.5
17,narcissus pseudonarcissus,experimental,daffodil,monocot,3,1.05
18,ocimum basilicum,control,basil,dicot,3,1.5499999999999998
19,ocimum basilicum,experimental,basil,dicot,3,1.15
20,petunia integrifolia,control,petunia,dicot,3,1.35
21,petunia integrifolia,experimental,petunia,dicot,3,1.2999999999999998
22,secale cereale,control,rye,monocot,3,2.1500000000000004
23,secale cereale,experimental,rye,monocot,3,1.825
24,solanum lycopersicum,control,tomato,dicot,3,3
25,solanum lycopersicum,experimental,tomato,dicot,3,2.1
26,triticum aestivum,control,wheat,monocot,3,1.2000000000000002
27,triticum aestivum,experimental,wheat,monocot,3,1.3
28,zea mays,control,maize,monocot,3,1.7
29,zea mays,experimental,maize,monocot,3,1.5
1,allium cepa,control,onion,monocot,4,1.2999999999999998
2,allium cepa,experimental,onion,monocot,4,1.4
3,allium tuberosum,control,garlic,monocot,4,1.2999999999999998
4,allium tuberosum,experimental,garlic,monocot,4,2.55
6,brassica oleracea var. capitata,control,cabbage,dicot,4,2.15
7,brassica oleracea var. capitata,experimental,cabbage,dicot,4,2.75
8,echeveria sedum,control,succulent,dicot,4,1.4500000000000002
9,echeveria sedum,experimental,succulent,dicot,4,3.2
10,helianthus annuus,control,common sunflower,dicot,4,2.3
11,helianthus annuus,experimental,common sunflower,dicot,4,2.75
12,lathyrus odoratus,control,sweet pea,dicot,4,1.6
13,lathyrus odoratus,experimental,sweet pea,dicot,4,2.1
14,lythrum salicaria,control,purple loosestrife,dicot,4,2.4
15,lythrum salicaria,experimental,purple loosestrife,dicot,4,2
16,narcissus pseudonarcissus,control,daffodil,monocot,4,2.4000000000000004
17,narcissus pseudonarcissus,experimental,daffodil,monocot,4,2.25
18,ocimum basilicum,control,basil,dicot,4,1.525
19,ocimum basilicum,experimental,basil,dicot,4,2.2
20,petunia integrifolia,control,petunia,dicot,4,2.5
21,petunia integrifolia,experimental,petunia,dicot,4,2.1
22,secale cereale,control,rye,monocot,4,1.05
23,secale cereale,experimental,rye,monocot,4,1.85
24,solanum lycopersicum,control,tomato,dicot,4,1.9
25,solanum lycopersicum,experimental,tomato,dicot,4,2.5
26,triticum aestivum,control,wheat,monocot,4,1.9
27,triticum aestivum,experimental,wheat,monocot,4,1.55
28,zea mays,control,maize,monocot,4,1.81
29,zea mays,experimental,maize,monocot,4,2.675
